Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,37.52,450.24,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,78.93,947.16,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),Amazon EC2,0,1384.88,16618.56,USD,"Operating system (Linux), Quantity (10), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t2.xlarge)"
My Estimate,US East (N. Virginia),Amazon RDS for PostgreSQL,0,9744.64,116935.68,USD,"Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (2 TB per month), Instance type (db.m5.8xlarge), Additional backup storage (5 TB)"
My Estimate,US East (N. Virginia),S3 Standard,0,235.52,2826.24,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,1356.71,16280.52,USD,"Data Transfer, Data transfer cost (1356.71)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,1356.71,16280.52,USD,"Data Transfer, Data transfer cost (1356.71)"
My Estimate,US East (Ohio),Amazon EC2,0,1384.88,16618.56,USD,"Operating system (Linux), Quantity (10), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t2.xlarge)"
My Estimate,US East (Ohio),Amazon RDS for PostgreSQL,0,2744.64,32935.68,USD,"Quantity (1), Storage volume (General Purpose SSD (gp2)), Storage amount (2 TB per month), Instance type (db.m5.4xlarge), Additional backup storage (2 TB)"
My Estimate,US East (Ohio),Amazon Virtual Private Cloud (VPC),0,78.93,947.16,USD,Number of NAT Gateways (1)
My Estimate,US East (Ohio),Amazon Virtual Private Cloud (VPC),0,1356.71,16280.52,USD,"Data Transfer, Data transfer cost (1356.71)"
My Estimate,US East (Ohio),Elastic Load Balancing,0,37.52,450.24,USD,Number of Application Load Balancers (2)
